Category,Threshold,TP,FP,FN,Precision,Recall
1,0.4,93,193,7,0.32517482517482516,0.93
1,0.45,88,112,12,0.44,0.88
1,0.5,80,67,20,0.54421768707483,0.8
1,0.55,67,38,33,0.638095238095238,0.67
1,0.6,55,20,45,0.7333333333333333,0.55
1,0.65,41,9,59,0.82,0.41
1,0.7,24,9,76,0.7272727272727273,0.24
1,0.75,19,4,81,0.8260869565217391,0.19
1,0.8,13,0,87,1.0,0.13
1,0.85,6,0,94,1.0,0.06
1,0.9,4,0,96,1.0,0.04
2,0.4,84,83,16,0.5029940119760479,0.84
2,0.45,76,41,24,0.6495726495726496,0.76
2,0.5,65,22,35,0.7471264367816092,0.65
2,0.55,51,17,49,0.75,0.51
2,0.6,41,10,59,0.803921568627451,0.41
2,0.65,32,2,68,0.9411764705882353,0.32
2,0.7,26,0,74,1.0,0.26
2,0.75,19,0,81,1.0,0.19
2,0.8,10,0,90,1.0,0.1
2,0.85,8,0,92,1.0,0.08
2,0.9,5,0,95,1.0,0.05
3,0.4,87,307,13,0.22081218274111675,0.87
3,0.45,79,193,21,0.29044117647058826,0.79
3,0.5,69,98,31,0.41317365269461076,0.69
3,0.55,58,50,42,0.5370370370370371,0.58
3,0.6,47,15,53,0.7580645161290323,0.47
3,0.65,31,8,69,0.7948717948717948,0.31
3,0.7,20,4,80,0.8333333333333334,0.2
3,0.75,11,1,89,0.9166666666666666,0.11
3,0.8,3,0,97,1.0,0.03
3,0.85,3,0,97,1.0,0.03
3,0.9,2,0,98,1.0,0.02
4,0.4,100,94,0,0.5154639175257731,1.0
4,0.45,100,37,0,0.7299270072992701,1.0
4,0.5,100,11,0,0.9009009009009009,1.0
4,0.55,96,2,4,0.9795918367346939,0.96
4,0.6,90,1,10,0.989010989010989,0.9
4,0.65,81,0,19,1.0,0.81
4,0.7,57,0,43,1.0,0.57
4,0.75,42,0,58,1.0,0.42
4,0.8,21,0,79,1.0,0.21
4,0.85,11,0,89,1.0,0.11
4,0.9,4,0,96,1.0,0.04
5,0.4,97,14,3,0.8738738738738738,0.97
5,0.45,91,4,9,0.9578947368421052,0.91
5,0.5,82,2,18,0.9761904761904762,0.82
5,0.55,70,1,30,0.9859154929577465,0.7
5,0.6,55,0,45,1.0,0.55
5,0.65,45,0,55,1.0,0.45
5,0.7,28,0,72,1.0,0.28
5,0.75,22,0,78,1.0,0.22
5,0.8,16,0,84,1.0,0.16
5,0.85,11,0,89,1.0,0.11
5,0.9,6,0,94,1.0,0.06
6,0.4,100,207,0,0.3257328990228013,1.0
6,0.45,96,126,4,0.43243243243243246,0.96
6,0.5,94,70,6,0.573170731707317,0.94
6,0.55,88,43,12,0.6717557251908397,0.88
6,0.6,78,22,22,0.78,0.78
6,0.65,60,14,40,0.8108108108108109,0.6
6,0.7,34,9,66,0.7906976744186046,0.34
6,0.75,23,4,77,0.8518518518518519,0.23
6,0.8,16,2,84,0.8888888888888888,0.16
6,0.85,9,1,91,0.9,0.09
6,0.9,6,0,94,1.0,0.06
7,0.4,99,101,1,0.495,0.99
7,0.45,97,64,3,0.6024844720496895,0.97
7,0.5,93,43,7,0.6838235294117647,0.93
7,0.55,83,26,17,0.7614678899082569,0.83
7,0.6,69,10,31,0.8734177215189873,0.69
7,0.65,61,1,39,0.9838709677419355,0.61
7,0.7,45,1,55,0.9782608695652174,0.45
7,0.75,28,0,72,1.0,0.28
7,0.8,16,0,84,1.0,0.16
7,0.85,12,0,88,1.0,0.12
7,0.9,4,0,96,1.0,0.04
